               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093938,            0.047624,            0.070368,             0.23611,              0.1102,            0.061332,            0.017081,            0.049412,            0.027078,            0.043339,            0.070789,           0.0032456,           0.0032456
                   1,            0.068161,            0.043996,            0.061951,             0.69354,             0.17888,            0.091626,            0.028154,             0.04298,            0.028232,            0.040122,            0.040138,           0.0059276,           0.0059276
                   2,            0.066096,            0.042023,            0.058155,             0.68584,             0.16341,            0.096272,            0.028169,            0.039462,            0.025359,            0.038619,           0.0088268,           0.0079496,           0.0079496
                   3,            0.061866,            0.044369,            0.060003,             0.69866,             0.13184,            0.094716,            0.029636,            0.038775,            0.021635,            0.038419,             0.00703,             0.00703,             0.00703
                   4,            0.055251,            0.043806,            0.054742,             0.66977,             0.21518,            0.095698,             0.02861,            0.037967,            0.025203,            0.037982,             0.00703,             0.00703,             0.00703
                   5,            0.052742,            0.042641,            0.055075,             0.55079,             0.18087,              0.1151,            0.038935,            0.036541,            0.020705,            0.037386,             0.00604,             0.00604,             0.00604
                   6,            0.046522,            0.042148,            0.051708,              0.7158,             0.19838,             0.13928,            0.048105,            0.032712,            0.019572,            0.036688,             0.00505,             0.00505,             0.00505
                   7,            0.048392,            0.041603,            0.055654,             0.63272,             0.21829,             0.15092,            0.063401,            0.028383,            0.020396,            0.036488,             0.00406,             0.00406,             0.00406
                   8,              0.0449,            0.040875,            0.054169,             0.73058,             0.18358,              0.1533,            0.067458,            0.027882,            0.018756,             0.03655,             0.00307,             0.00307,             0.00307
                   9,            0.046048,             0.04119,            0.054752,             0.66505,              0.1865,             0.16166,            0.068657,            0.027356,            0.018157,            0.036197,             0.00208,             0.00208,             0.00208
