               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039453,            0.039226,            0.053823,             0.53025,             0.23281,             0.21024,            0.098049,            0.025751,            0.017105,            0.033519,            0.070789,           0.0032456,           0.0032456
                   1,            0.040675,            0.037944,            0.049551,             0.63242,             0.21065,              0.2152,            0.098457,            0.026709,            0.017655,            0.033137,            0.040464,           0.0062533,           0.0062533
                   2,            0.044431,            0.036888,            0.049752,             0.64862,              0.2033,             0.22132,            0.094556,            0.029554,            0.016907,            0.033486,           0.0098082,            0.008931,            0.008931
                   3,            0.047941,            0.038947,             0.05294,             0.66031,             0.23494,              0.2352,             0.09915,              0.0322,            0.016592,            0.032896,            0.008515,            0.008515,            0.008515
                   4,             0.04576,            0.037981,            0.049883,             0.63075,             0.23078,             0.21919,            0.093623,            0.027614,            0.017212,            0.032751,            0.008515,            0.008515,            0.008515
                   5,             0.04417,            0.037496,            0.050581,             0.66105,             0.21468,             0.23946,            0.098658,            0.029124,            0.016918,            0.031826,             0.00802,             0.00802,             0.00802
                   6,            0.040799,             0.03745,            0.047413,             0.65995,             0.22776,             0.22774,            0.087686,            0.027669,            0.017597,             0.03193,            0.007525,            0.007525,            0.007525
                   7,            0.043767,            0.037928,              0.0513,             0.63042,             0.22323,             0.23546,             0.11324,            0.028416,            0.019897,            0.034419,             0.00703,             0.00703,             0.00703
                   8,            0.042696,            0.037553,            0.050637,             0.57257,             0.22231,             0.24052,             0.10477,             0.02724,            0.017893,            0.031624,            0.006535,            0.006535,            0.006535
                   9,            0.043475,            0.038122,            0.051237,             0.58474,             0.22137,             0.22768,            0.087873,            0.030124,            0.016908,            0.032089,             0.00604,             0.00604,             0.00604
                  10,            0.045146,            0.037641,            0.050946,             0.57204,             0.26029,              0.2645,             0.12884,            0.024725,            0.017869,            0.031076,            0.005545,            0.005545,            0.005545
                  11,            0.038374,            0.036617,            0.045567,             0.48647,              0.2629,             0.27635,             0.13519,            0.025219,            0.017155,            0.030422,             0.00505,             0.00505,             0.00505
                  12,            0.038767,            0.035864,            0.048689,             0.55637,             0.25084,             0.27373,             0.12757,            0.026341,            0.015958,            0.030363,            0.004555,            0.004555,            0.004555
                  13,            0.038529,            0.035917,            0.051533,             0.55413,              0.2607,             0.27635,             0.11847,            0.026986,            0.016042,            0.030056,             0.00406,             0.00406,             0.00406
                  14,            0.037167,            0.037162,            0.049415,             0.50784,             0.25411,             0.27762,             0.13373,            0.025076,            0.016122,            0.029912,            0.003565,            0.003565,            0.003565
                  15,            0.035961,            0.036197,            0.047834,             0.43811,             0.25649,             0.26861,             0.13306,            0.024298,            0.016577,            0.029741,             0.00307,             0.00307,             0.00307
                  16,            0.036935,            0.036977,            0.047829,             0.49699,             0.26846,             0.29013,             0.14603,            0.023951,            0.015858,            0.029786,            0.002575,            0.002575,            0.002575
                  17,            0.035308,            0.036584,            0.048187,             0.49549,             0.26552,             0.29212,             0.14679,             0.02387,            0.015765,            0.029346,             0.00208,             0.00208,             0.00208
                  18,            0.035874,            0.037203,             0.04712,             0.54214,             0.26446,             0.29737,             0.15106,            0.023767,            0.015705,            0.029461,            0.001585,            0.001585,            0.001585
